x,y,z,intensity
0.20696,3.5463,-0.92994,23
0.22813,3.9089,-0.92777,24
0.079636,1.2946,-0.76922,36
0.086178,1.401,-0.78864,20
0.091615,1.4894,-0.79341,24
0.098208,1.5965,-0.80344,23
0.10389,1.6888,-0.8009,23
0.11308,1.8382,-0.81998,26
0.12384,2.0133,-0.84253,16
0.14241,2.3151,-0.90571,23
0.15312,2.4892,-0.90772,27
0.16775,2.7271,-0.92322,21
0.18474,3.0032,-0.9389,27
0.2042,3.3197,-0.95371,30
0.21846,3.5514,-0.93146,29
0.24041,3.9082,-0.92777,24
0.084456,1.3167,-0.78248,29
0.090292,1.4077,-0.79256,20
0.095627,1.4909,-0.79435,29
0.10319,1.6088,-0.80973,26
0.10923,1.703,-0.80775,21
0.11882,1.8525,-0.82649,25
0.12722,1.9835,-0.8302,16
0.14859,2.3165,-0.90644,26
0.15976,2.4907,-0.90841,21
0.17477,2.7247,-0.92258,24
0.19333,3.0142,-0.94248,29
0.20785,3.2405,-0.9311,28
0.22998,3.5856,-0.94058,21
0.25076,3.9095,-0.92823,29
0.088247,1.3147,-0.78146,31
0.094351,1.4057,-0.79158,22
0.099341,1.48,-0.78871,26
0.10724,1.5977,-0.80434,23
0.11368,1.6936,-0.80347,23
0.12371,1.843,-0.82242,18
0.13323,1.985,-0.83097,19
0.15371,2.2901,-0.89625,24
0.16778,2.4996,-0.91183,21
0.18361,2.7356,-0.92642,28
0.20061,2.9888,-0.93473,27
0.21849,3.2552,-0.93551,28
0.24101,3.5907,-0.9421,23
0.26158,3.8971,-0.92546,29
0.091426,1.3042,-0.77534,36
0.098887,1.4106,-0.79452,22
0.10336,1.4744,-0.7859,24
0.11298,1.6117,-0.81152,23
0.1182,1.6861,-0.80004,26
0.12841,1.8317,-0.81754,19
0.14028,2.0011,-0.83791,19
0.1609,2.2952,-0.89844,25
0.17585,2.5085,-0.91525,19
0.19093,2.7237,-0.92258,28
0.20881,2.9787,-0.93175,29
0.226,3.2239,-0.92669,28
0.25166,3.5899,-0.9421,23
0.27436,3.9138,-0.92961,27
0.094317,1.2936,-0.76922,38
0.10333,1.4173,-0.79844,24
0.10876,1.4918,-0.79528,27
0.11748,1.6114,-0.81152,23
0.12264,1.6821,-0.79833,28
0.13352,1.8314,-0.81754,25
0.14627,2.0062,-0.84022,15
0.17001,2.3319,-0.91298,28
0.18203,2.4967,-0.91114,19
0.19826,2.7193,-0.9213,24
0.21463,2.9438,-0.92103,29
0.23542,3.229,-0.92835,28
0.26014,3.568,-0.93652,28
0.28543,3.9149,-0.93008,22
0.097929,1.2934,-0.76922,33
0.10716,1.4153,-0.79746,22
0.11213,1.4809,-0.78965,24
0.12212,1.6128,-0.81242,26
0.12857,1.698,-0.80603,21
0.14057,1.8565,-0.82893,25
0.15466,2.0426,-0.85564,21
0.17596,2.324,-0.91008,25
0.18787,2.4812,-0.90567,18
0.20528,2.7112,-0.91874,24
0.22141,2.9242,-0.91507,35
0.24458,3.2302,-0.9289,26
0.27317,3.6078,-0.94716,21
0.2971,3.9238,-0.93238,21
0.10244,1.3016,-0.77432,29
0.10903,1.3854,-0.7808,23
0.11611,1.4753,-0.78683,23
0.1269,1.6124,-0.81242,26
0.13304,1.6904,-0.80261,26
0.14894,1.8925,-0.8452,23
0.15754,2.0017,-0.83868,24
0.18052,2.2937,-0.89844,24
0.19626,2.4938,-0.91046,22
0.21333,2.7106,-0.91874,19
0.23083,2.933,-0.91805,33
0.25477,3.2371,-0.9311,24
0.28205,3.5838,-0.94108,23
0.3095,3.9326,-0.93469,20
0.10622,1.3031,-0.77534,29
0.11233,1.3781,-0.77688,21
0.11965,1.4679,-0.78308,23
0.13082,1.605,-0.80883,23
0.13776,1.69,-0.80261,28
0.15363,1.8848,-0.84194,26
0.16178,1.9847,-0.83174,19
0.18662,2.2895,-0.89698,21
0.20185,2.4763,-0.9043,24
0.21951,2.693,-0.91297,22
0.23685,2.9057,-0.90971,33
0.26224,3.2172,-0.92559,24
0.29394,3.6061,-0.94716,23
0.31969,3.922,-0.93238,21
0.11045,1.3044,-0.77636,28
0.11666,1.3778,-0.77688,19
0.12173,1.4376,-0.76712,24
0.13586,1.6045,-0.80883,23
0.14612,1.7256,-0.81972,30
0.15894,1.877,-0.83869,28
0.17237,2.0357,-0.85333,20
0.19617,2.3167,-0.90789,23
0.21026,2.4832,-0.90704,21
0.22765,2.6885,-0.91169,19
0.25226,2.9792,-0.93294,33
0.27024,3.1915,-0.91842,24
0.30413,3.5917,-0.94361,25
0.33021,3.8997,-0.92731,21
0.11507,1.3127,-0.78146,28
0.12197,1.3913,-0.78472,16
0.12661,1.4443,-0.77087,21
0.14172,1.6166,-0.81511,24
0.15124,1.7252,-0.81972,28
0.1661,1.8947,-0.84683,26
0.17696,2.0186,-0.84639,22
0.20418,2.3291,-0.91298,24
0.21862,2.4938,-0.91114,21
0.23381,2.6671,-0.90465,22
0.25777,2.9404,-0.92103,35
0.2829,3.2271,-0.9289,28
0.31512,3.5946,-0.94463,23
0.34331,3.9161,-0.93146,24
0.11774,1.3038,-0.77636,31
0.12545,1.3892,-0.78374,16
0.13293,1.4721,-0.7859,22
0.14611,1.618,-0.81601,24
0.15575,1.7248,-0.81972,21
0.16991,1.8816,-0.84113,26
0.17726,1.963,-0.82326,19
0.21195,2.3471,-0.92026,25
0.22531,2.4951,-0.91183,21
0.24539,2.7174,-0.92194,27
0.26478,2.9321,-0.91865,27
0.2929,3.2436,-0.93386,28
0.32383,3.5861,-0.9426,23
0.35268,3.9055,-0.92915,19
0.12199,1.3051,-0.77738,29
0.12852,1.375,-0.7759,20
0.13821,1.4787,-0.78965,23
0.15053,1.6104,-0.81242,24
0.16117,1.7243,-0.81972,26
0.17616,1.8847,-0.84276,26
0.18583,1.9881,-0.83406,19
0.21846,2.3372,-0.91662,28
0.23455,2.5093,-0.9173,27
0.25498,2.7279,-0.92578,28
0.27683,2.9616,-0.92818,29
0.29987,3.2082,-0.92394,28
0.33258,3.5581,-0.93551,28
0.36676,3.9238,-0.93376,21
0.12436,1.2963,-0.77228,33
0.13121,1.3677,-0.77199,19
0.14267,1.4871,-0.79435,26
0.1531,1.5958,-0.80524,26
0.1659,1.7293,-0.82229,28
0.18199,1.8969,-0.84845,28
0.19298,2.0116,-0.84408,21
0.22293,2.3237,-0.91153,26
0.23942,2.4956,-0.91251,22
0.26038,2.7141,-0.9213,27
0.28352,2.9553,-0.92639,27
0.30918,3.2227,-0.92835,26
0.34552,3.6015,-0.94716,23
0.37449,3.9035,-0.92915,27
0.12809,1.2924,-0.77024,33
0.13654,1.3777,-0.77786,20
0.14751,1.4884,-0.79528,27
0.15687,1.5829,-0.79896,30
0.16973,1.7126,-0.81459,24
0.1865,1.8818,-0.84194,28
0.2013,2.0311,-0.85256,20
0.23004,2.3211,-0.9108,23
0.24634,2.4855,-0.90909,21
0.26853,2.7095,-0.92002,28
0.28753,2.9012,-0.90971,35
0.31627,3.1911,-0.91953,30
0.35664,3.5985,-0.94665,25
0.38713,3.9062,-0.93008,22
0.13233,1.2938,-0.77126,36
0.14069,1.3755,-0.77688,23
0.15237,1.4897,-0.79622,27
0.16385,1.6019,-0.80883,26
0.17732,1.7336,-0.82486,23
0.19279,1.8849,-0.84357,26
0.20919,2.0452,-0.85872,19
0.23809,2.3278,-0.91371,26
0.2551,2.4941,-0.91251,24
0.27839,2.7218,-0.9245,21
0.29839,2.9173,-0.91507,27
0.33627,3.2877,-0.94764,24
0.3648,3.5666,-0.93855,25
0.3994,3.9049,-0.93008,20
0.13612,1.2951,-0.77228,38
0.14344,1.3647,-0.77101,22
0.15653,1.4893,-0.79622,30
0.16907,1.6086,-0.81242,23
0.18216,1.7331,-0.82486,30
0.20053,1.9079,-0.85415,25
0.2122,2.0189,-0.84793,21
0.24108,2.2938,-0.90062,30
0.26128,2.4859,-0.90977,24
0.28758,2.7361,-0.92962,24
0.29915,2.8462,-0.89303,25
0.33761,3.2121,-0.92614,33
0.37779,3.5944,-0.94615,21
0.41071,3.9077,-0.931,20
0.13992,1.2964,-0.7733,38
0.148,1.3712,-0.77493,22
0.16031,1.4853,-0.79435,24
0.17375,1.6099,-0.81332,22
0.18816,1.7434,-0.82999,26
0.20351,1.8856,-0.84439,26
0.2208,2.0458,-0.85949,19
0.24209,2.2431,-0.88098,26
0.26983,2.5001,-0.91525,21
0.29237,2.7089,-0.92066,30
0.3114,2.8852,-0.90554,39
0.35029,3.2456,-0.93606,26
0.38658,3.5818,-0.94311,19
0.42204,3.9104,-0.93192,22
0.14301,1.2892,-0.76922,40
0.15187,1.3691,-0.77395,23
0.16608,1.4971,-0.80092,29
0.17813,1.6058,-0.81152,23
0.19253,1.7356,-0.82657,33
0.20789,1.8741,-0.8395,26
0.22545,2.0323,-0.8541,24
0.24566,2.2146,-0.87006,20
0.27683,2.4956,-0.91388,24
0.30124,2.7156,-0.92322,30
0.32627,2.9412,-0.92341,25
0.35589,3.2082,-0.92559,30
0.394,3.5518,-0.93551,25
0.43257,3.8995,-0.92961,27
0.14638,1.2888,-0.76922,40
0.15703,1.3825,-0.78178,23
0.17,1.4967,-0.80092,26
0.18153,1.5982,-0.80793,23
0.19871,1.7495,-0.83342,26
0.21094,1.8572,-0.83218,26
0.22744,2.0024,-0.84176,22
0.25945,2.2843,-0.89771,25
0.28188,2.4817,-0.90909,28
0.31006,2.7298,-0.92834,24
0.32579,2.8683,-0.90077,33
0.36147,3.1825,-0.91842,33
0.39981,3.52,-0.92741,28
0.44322,3.9022,-0.93054,24
0.1512,1.2969,-0.77432,31
0.16174,1.3872,-0.78472,24
0.17321,1.4857,-0.79528,24
0.18668,1.6012,-0.80973,23
0.20139,1.7273,-0.82315,24
0.21751,1.8656,-0.83625,23
0.23551,2.02,-0.84947,27
0.26774,2.2964,-0.9028,23
0.28946,2.4828,-0.90977,24
0.31443,2.6969,-0.91746,30
0.34004,2.9166,-0.91626,33
0.37514,3.2177,-0.9289,30
0.40554,3.4784,-0.91677,23
0.45592,3.9105,-0.93284,22
0.1565,1.3066,-0.78044,28
0.16692,1.3937,-0.78864,22
0.17956,1.4991,-0.8028,26
0.19299,1.6113,-0.81511,23
0.20552,1.7159,-0.81801,23
0.22424,1.8722,-0.8395,25
0.24098,2.012,-0.84639,22
0.27495,2.2956,-0.9028,22
0.29905,2.4968,-0.91525,24
0.32132,2.6827,-0.91297,24
